code,mets,major_heading_ja,activity_ja,major_heading_en,activity_en
05042,2.5,家での活動,皿洗い：テーブルから皿を片付ける、歩く、楽な労力,home activities,"wash dishes, clearing dishes from table, walking, light effort"
05043,3.3,家での活動,掃除機をかける：全般、ほどほどの労力,home activities,"vacuuming, general, moderate effort"
05044,3,家での活動,動物を解体処理する：小さい動物,home activities,"butchering animals, small"
05045,6,家での活動,動物を解体処理する：大きい動物、きつい労力,home activities,"butchering animal, large, vigorous effort"
05046,2.3,家での活動,魚をさばく・燻す、魚や肉を乾燥させる,home activities,"cutting and smoking fish, drying fish or meat"
05048,4,家での活動,皮をなめす：全般,home activities,"tanning hides, general"
05049,3.5,家での活動,調理や食事の準備：ほどほどの労力,home activities,"cooking or food preparation, moderate effort"
05051,2.5,家での活動,給仕する：テーブルのセッティングをする、歩行と立位を含む,home activities,"serving food, setting table, implied walking or standing"
05052,2.5,家での活動,調理や食事の準備：歩く,home activities,"cooking or food preparation, walking"
05053,2.5,家での活動,ペットへの餌やり,home activities,feeding household animals
05055,2.5,家での活動,食料品の片付け(例：食料品の運搬、カートを使用しないでの買い物)、荷物運び,home activities,"putting away groceries (e.g. carrying groceries, shopping without a grocery cart), carrying packages"
05056,7.5,家での活動,食料品を上の階へ運ぶ,home activities,carrying groceries upstairs
05057,3,家での活動,ストーブの上でインドパンを焼く,home activities,cooking Indian bread on an outside stove
05060,2.3,家での活動,食料品の買い物：カートを使う場合と使わない場合どちらでも、立位や歩行を伴う,home activities,"food shopping with or without a grocery cart, standing or walking"
05065,2.3,家での活動,食料品以外の買い物：カートを使う場合と使わない場合どちらでも、立位や歩行を伴う,home activities,"non-food shopping, with or without a cart, standing or walking"
05070,1.8,家での活動,アイロンがけ,home activities,ironing
05080,1.3,家での活動,編み物：裁縫、楽な労力、プレゼントをラッピングする、座位,home activities,"knitting, sewing, light effort, wrapping presents, sitting"
05082,2.8,家での活動,機械を使っての裁縫,home activities,sewing with a machine
